model,degrees_of_freedom,representation,purity,ari,nmi,mean_entropy,active_k,cluster_sizes,mean_probabilities,architecture,parameterization
no_wishart,,prefix_half,0.847887323943662,0.6042582173609709,0.5440723810865212,0.2881808578968048,3,"[305, 354, 406]","[0.30008187890052795, 0.33646777272224426, 0.363450288772583]",nhp,output_split
no_wishart,,full_sequence,0.9417840375586854,0.835056427571205,0.7832234939510636,0.07655196636915207,3,"[350, 347, 368]","[0.32666873931884766, 0.32971224188804626, 0.34361907839775085]",nhp,output_split
latent_wishart_attention,,prefix_half,0.815962441314554,0.5489255929147054,0.5307609048196749,0.41004249453544617,3,"[215, 395, 455]","[0.22758319973945618, 0.3712492287158966, 0.40116724371910095]",nhp,output_split
latent_wishart_attention,,full_sequence,0.9183098591549296,0.7803941799854083,0.7551569244443006,0.14261695742607117,3,"[296, 357, 412]","[0.2741048038005829, 0.337101012468338, 0.38879305124282837]",nhp,output_split
no_wishart,,prefix_half,0.46854460093896716,0.07016032122650119,0.09859759976483783,0.8771588802337646,2,"[255, 0, 810]","[0.2099277526140213, 0.37301844358444214, 0.417053759098053]",nhp,lal_fixed
no_wishart,,full_sequence,0.49765258215962443,0.10375132869162611,0.12400983398253983,0.8338368535041809,3,"[316, 9, 740]","[0.24696317315101624, 0.3558620810508728, 0.3971746861934662]",nhp,lal_fixed
latent_wishart_attention,,prefix_half,0.8206572769953052,0.5564121674512541,0.5405192933841529,0.47188863158226013,3,"[441, 209, 415]","[0.38799139857292175, 0.22033938765525818, 0.39166897535324097]",nhp,lal_fixed
latent_wishart_attention,,full_sequence,0.923943661971831,0.7928320781214562,0.7659104802969785,0.16458141803741455,3,"[407, 289, 369]","[0.3815416991710663, 0.26603391766548157, 0.35242417454719543]",nhp,lal_fixed
no_wishart,,prefix_half,0.8028169014084507,0.5118502599393879,0.4639969339210031,0.29125821590423584,3,"[304, 368, 393]","[0.27558988332748413, 0.3430340588092804, 0.3813759982585907]",thp,output_split
no_wishart,,full_sequence,0.8788732394366198,0.6826474209133759,0.6440887094432928,0.09160790592432022,3,"[320, 351, 394]","[0.29889026284217834, 0.33295100927352905, 0.3681584596633911]",thp,output_split
latent_wishart_attention,,prefix_half,0.8610328638497653,0.6359186818739386,0.5743778206143052,0.2897334396839142,3,"[371, 332, 362]","[0.3324335813522339, 0.33071067929267883, 0.3368555009365082]",thp,output_split
latent_wishart_attention,,full_sequence,0.952112676056338,0.8635806728779242,0.8147994554651163,0.09697655588388443,3,"[360, 350, 355]","[0.33538126945495605, 0.3288581669330597, 0.33576008677482605]",thp,output_split
no_wishart,,prefix_half,0.5136150234741784,0.11315128122850591,0.11600349053470566,0.6373810768127441,3,"[328, 379, 358]","[0.3307751417160034, 0.3528696298599243, 0.31635504961013794]",thp,lal_fixed
no_wishart,,full_sequence,0.5136150234741784,0.1062106619900795,0.12387779036585217,0.3241230547428131,3,"[311, 462, 292]","[0.30196118354797363, 0.4238576889038086, 0.27418091893196106]",thp,lal_fixed
latent_wishart_attention,,prefix_half,0.8516431924882629,0.6107832281602704,0.5445604616573958,0.32503512501716614,3,"[323, 356, 386]","[0.3254849910736084, 0.3167153298854828, 0.3577996790409088]",thp,lal_fixed
latent_wishart_attention,,full_sequence,0.9389671361502347,0.8272807346838927,0.7670016840622893,0.11708933115005493,3,"[343, 353, 369]","[0.3185364902019501, 0.3310885429382324, 0.35037490725517273]",thp,lal_fixed
no_wishart,,prefix_half,0.3333333333333333,0.0,0.0,1.0605613922066768e-38,1,"[0, 1065, 0]","[1.5397747785693955e-40, 1.0, 2.298521845062711e-40]",cotic,output_split
no_wishart,,full_sequence,0.3333333333333333,0.0,0.0,4.203895392974451e-45,1,"[0, 1065, 0]","[0.0, 1.0, 0.0]",cotic,output_split
latent_wishart_attention,,prefix_half,0.8516431924882629,0.6160482635489327,0.5545622176307456,0.3492385149002075,3,"[323, 366, 376]","[0.3251626789569855, 0.3286183178424835, 0.34621864557266235]",cotic,output_split
latent_wishart_attention,,full_sequence,0.9446009389671362,0.8441792862273624,0.8014612572116784,0.1305183619260788,3,"[365, 345, 355]","[0.34665289521217346, 0.3205072283744812, 0.3328397572040558]",cotic,output_split
no_wishart,,prefix_half,0.40751173708920185,0.014901290393766538,0.016415488539542635,1.0964800119400024,3,"[528, 109, 428]","[0.33587831258773804, 0.3344109058380127, 0.32971063256263733]",cotic,lal_fixed
no_wishart,,full_sequence,0.4,0.0125639463926392,0.0140589632427748,1.0959129333496094,3,"[536, 108, 421]","[0.33719944953918457, 0.33436140418052673, 0.32843926548957825]",cotic,lal_fixed
latent_wishart_attention,,prefix_half,0.7624413145539906,0.4876711482718828,0.4980093116532326,0.4085969626903534,3,"[159, 376, 530]","[0.18889392912387848, 0.35131141543388367, 0.45979419350624084]",cotic,lal_fixed
latent_wishart_attention,,full_sequence,0.9023474178403755,0.7470832282022464,0.7596361389703371,0.18984293937683105,3,"[263, 353, 449]","[0.24228131771087646, 0.3334783613681793, 0.4242401123046875]",cotic,lal_fixed
