epoch,optimizer_steps,train_negative_mc_log_posterior_per_path,validation_suffix_nll_per_exposure,validation_prefix_cluster_entropy,validation_prior_attention_diagonal,validation_prefix_posterior_attention_diagonal,mean_matrix_hyperprior_penalty,mean_abs_mean_matrix_minus_identity,minimum_mean_matrix_eigenvalue,maximum_mean_matrix_eigenvalue,gradient_norm,degrees_of_freedom,train_samples,validation_samples,uses_local_w_parameters,uses_elbo,uses_lal_logic,w_is_integrated_by_monte_carlo
5,5,82.92498016357422,6.457311153411865,1.0626204013824463,0.5976487398147583,0.5940548181533813,0.04047870635986328,0.023585796356201172,0.8571321964263916,1.1849384307861328,130.9265594482422,20,4,16,False,False,False,True
10,10,61.985591888427734,4.988786697387695,1.079932451248169,0.5916646718978882,0.5899047255516052,0.1200261116027832,0.04042567312717438,0.7537736892700195,1.3313807249069214,99.22610473632812,20,4,16,False,False,False,True
15,15,49.365047454833984,4.3943095207214355,1.0869693756103516,0.583426833152771,0.5828626155853271,0.23407793045043945,0.05599638447165489,0.6570844650268555,1.4900635480880737,58.74728012084961,20,4,16,False,False,False,True
20,20,44.40056228637695,4.6068315505981445,1.089789867401123,0.5720691084861755,0.5719161033630371,0.3899803161621094,0.06996377557516098,0.5690939426422119,1.722385048866272,11.541105270385742,20,4,16,False,False,False,True
25,25,44.39532470703125,4.775310039520264,1.0831475257873535,0.5548441410064697,0.5545812249183655,0.6182146072387695,0.08624756336212158,0.48988160490989685,2.084232807159424,26.781782150268555,20,4,16,False,False,False,True
30,30,42.78425598144531,4.290116786956787,1.052557349205017,0.5331511497497559,0.5322747230529785,0.9143867492675781,0.10690058767795563,0.42968982458114624,2.527965545654297,8.54825210571289,20,4,16,False,False,False,True
35,35,41.74713897705078,4.224330425262451,1.0015541315078735,0.5072886347770691,0.5060789585113525,1.301361083984375,0.1298256814479828,0.36419984698295593,3.081204891204834,14.60026741027832,20,4,16,False,False,False,True
40,40,40.2528076171875,4.0707106590271,0.9567415118217468,0.48333442211151123,0.4824170470237732,1.7605304718017578,0.15202078223228455,0.29292529821395874,3.670351982116699,7.903712272644043,20,4,16,False,False,False,True
45,45,39.30781555175781,4.0157670974731445,0.8829697370529175,0.4645940661430359,0.4637194275856018,2.245105743408203,0.16922493278980255,0.23342372477054596,4.195054054260254,11.241436004638672,20,4,16,False,False,False,True
50,50,38.53744125366211,3.883394956588745,0.7812873125076294,0.4498704671859741,0.4488917887210846,2.7300424575805664,0.18326884508132935,0.18765324354171753,4.621489524841309,11.478913307189941,20,4,16,False,False,False,True
55,55,37.81504440307617,3.8407979011535645,0.6790100932121277,0.43623751401901245,0.4352467954158783,3.246476173400879,0.19531293213367462,0.14643222093582153,4.981882572174072,16.68187713623047,20,4,16,False,False,False,True
