epoch,optimizer_steps,train_negative_mc_log_posterior_per_path,validation_suffix_nll_per_exposure,validation_prefix_cluster_entropy,validation_prior_attention_diagonal,validation_prefix_posterior_attention_diagonal,mean_matrix_hyperprior_penalty,mean_abs_mean_matrix_minus_identity,minimum_mean_matrix_eigenvalue,maximum_mean_matrix_eigenvalue,gradient_norm,degrees_of_freedom,train_samples,validation_samples,uses_local_w_parameters,uses_elbo,uses_lal_logic,w_is_integrated_by_monte_carlo
5,5,46.60673904418945,4.79964542388916,1.0937882661819458,0.5974321365356445,0.5970994830131531,0.04267597198486328,0.023638179525732994,0.844472348690033,1.2079228162765503,1.4016468524932861,20,4,16,False,False,False,True
10,10,46.62767791748047,4.793032169342041,1.0934637784957886,0.5926737189292908,0.5923014283180237,0.10882377624511719,0.03806789591908455,0.7523248195648193,1.353092074394226,1.3744115829467773,20,4,16,False,False,False,True
15,15,46.528663635253906,4.783108234405518,1.0934100151062012,0.5840634107589722,0.583601713180542,0.2237691879272461,0.05196014419198036,0.6493351459503174,1.5166716575622559,1.3925952911376953,20,4,16,False,False,False,True
20,20,46.3632698059082,4.767910957336426,1.092862844467163,0.5701519250869751,0.5695359706878662,0.4107546806335449,0.06842131912708282,0.5529065132141113,1.747700572013855,1.34834623336792,20,4,16,False,False,False,True
25,25,46.21457290649414,4.743669509887695,1.09111750125885,0.5491389036178589,0.5483207106590271,0.7004737854003906,0.09016060829162598,0.459776908159256,2.078209400177002,1.3128407001495361,20,4,16,False,False,False,True
30,30,45.912506103515625,4.708299160003662,1.086546540260315,0.519486129283905,0.5185385942459106,1.130483627319336,0.11911284923553467,0.37660765647888184,2.535311698913574,1.2879475355148315,20,4,16,False,False,False,True
35,35,45.74070358276367,4.664963245391846,1.0754084587097168,0.484214186668396,0.48317861557006836,1.6963844299316406,0.15428487956523895,0.30240535736083984,3.0620474815368652,1.3281909227371216,20,4,16,False,False,False,True
40,40,45.33994674682617,4.615640163421631,1.0443177223205566,0.44774508476257324,0.44662171602249146,2.3521728515625,0.19134436547756195,0.2339491844177246,3.5423085689544678,1.473812460899353,20,4,16,False,False,False,True
45,45,45.02388381958008,4.547225475311279,0.9685320258140564,0.41682517528533936,0.4155571460723877,3.034928321838379,0.22472578287124634,0.17374080419540405,3.9269182682037354,1.9072999954223633,20,4,16,False,False,False,True
50,50,44.25589370727539,4.440929412841797,0.8633621335029602,0.39139387011528015,0.389497846364975,3.7489356994628906,0.25617870688438416,0.12419840693473816,4.5657243728637695,2.200747489929199,20,4,16,False,False,False,True
55,55,43.449867248535156,4.305537223815918,0.773559033870697,0.36767691373825073,0.36507418751716614,4.542253494262695,0.2857235372066498,0.08857960253953934,5.3913469314575195,2.769411325454712,20,4,16,False,False,False,True
60,60,42.69887924194336,4.157480716705322,0.7012662887573242,0.3478124737739563,0.3451172411441803,5.359722137451172,0.31382447481155396,0.0667949691414833,6.159316539764404,3.201655864715576,20,4,16,False,False,False,True
65,65,41.94953918457031,4.055288791656494,0.6344501972198486,0.3330024182796478,0.3306730091571808,6.131233215332031,0.3356642425060272,0.053504060953855515,6.747668266296387,3.9298717975616455,20,4,16,False,False,False,True
70,70,41.53004455566406,3.9887518882751465,0.5773380994796753,0.3218339681625366,0.31998905539512634,6.811129570007324,0.3515225648880005,0.045529574155807495,7.162585735321045,4.548641204833984,20,4,16,False,False,False,True
75,75,40.85193634033203,3.9298229217529297,0.5462082028388977,0.3143692910671234,0.3129275143146515,7.366050720214844,0.3615227937698364,0.04056452214717865,7.44327974319458,4.226326942443848,20,4,16,False,False,False,True
80,80,40.20661163330078,3.8824644088745117,0.5402806401252747,0.3085157573223114,0.30730798840522766,7.815981864929199,0.3698326349258423,0.03617645055055618,7.641889572143555,3.416989326477051,20,4,16,False,False,False,True
85,85,39.80903244018555,3.853058338165283,0.5385336875915527,0.3010376989841461,0.29981741309165955,8.185670852661133,0.37996578216552734,0.03227686509490013,7.816501617431641,3.291295289993286,20,4,16,False,False,False,True
90,90,39.452762603759766,3.78487229347229,0.5332604050636292,0.2933334708213806,0.2920849323272705,8.486627578735352,0.3918639123439789,0.02892852947115898,7.972563743591309,2.9745657444000244,20,4,16,False,False,False,True
95,95,39.03169250488281,3.741823196411133,0.5293148756027222,0.2852802872657776,0.28412309288978577,8.741800308227539,0.40375664830207825,0.026461847126483917,8.111091613769531,2.7903237342834473,20,4,16,False,False,False,True
100,100,38.67467498779297,3.7341134548187256,0.5277334451675415,0.2775326073169708,0.2763576805591583,8.97201156616211,0.4143594801425934,0.024238143116235733,8.230646133422852,2.5939524173736572,20,4,16,False,False,False,True
105,105,38.48430252075195,3.700563430786133,0.5228724479675293,0.2693491578102112,0.26818153262138367,9.200153350830078,0.42539483308792114,0.021839285269379616,8.347285270690918,2.437575101852417,20,4,16,False,False,False,True
110,110,38.23160934448242,3.6685240268707275,0.5170918107032776,0.26015424728393555,0.25898855924606323,9.423019409179688,0.4383941888809204,0.020006855949759483,8.468168258666992,2.3252062797546387,20,4,16,False,False,False,True
115,115,38.03185272216797,3.636121988296509,0.5126407742500305,0.24952974915504456,0.24853087961673737,9.658031463623047,0.4526512324810028,0.018542040139436722,8.604317665100098,2.264723062515259,20,4,16,False,False,False,True
120,120,37.864322662353516,3.6176953315734863,0.5093263387680054,0.24031874537467957,0.23957549035549164,9.902231216430664,0.465487003326416,0.017265398055315018,8.74378490447998,2.7648816108703613,20,4,16,False,False,False,True
125,125,37.7274169921875,3.5925323963165283,0.5098321437835693,0.23402267694473267,0.23351232707500458,10.136037826538086,0.47499963641166687,0.016262419521808624,8.8623046875,2.444941759109497,20,4,16,False,False,False,True
130,130,37.45735549926758,3.5672712326049805,0.5105327367782593,0.2291659265756607,0.22883836925029755,10.366340637207031,0.48247280716896057,0.01520142424851656,8.959553718566895,2.3148536682128906,20,4,16,False,False,False,True
135,135,37.312015533447266,3.5472218990325928,0.510263204574585,0.22496859729290009,0.22479048371315002,10.585479736328125,0.48898693919181824,0.013941148295998573,9.0460786819458,2.4552154541015625,20,4,16,False,False,False,True
140,140,36.98552322387695,3.528688430786133,0.5112161636352539,0.22347204387187958,0.2232620269060135,10.765466690063477,0.49145469069480896,0.012885376811027527,9.096870422363281,3.010922908782959,20,4,16,False,False,False,True
145,145,36.74251937866211,3.5128629207611084,0.5145196914672852,0.22317719459533691,0.22294265031814575,10.89875602722168,0.491277277469635,0.0119630740955472,9.11548137664795,2.564631700515747,20,4,16,False,False,False,True
150,150,36.67711639404297,3.5004584789276123,0.516904890537262,0.2240387201309204,0.2238176167011261,11.010433197021484,0.4892142713069916,0.011416102759540081,9.120763778686523,2.4800755977630615,20,4,16,False,False,False,True
155,155,36.36628341674805,3.491560459136963,0.5183179378509521,0.22501495480537415,0.22484202682971954,11.123405456542969,0.48751893639564514,0.011221480555832386,9.135526657104492,2.1797287464141846,20,4,16,False,False,False,True
160,160,36.2198371887207,3.483548402786255,0.5166120529174805,0.2260732650756836,0.22584961354732513,11.231498718261719,0.4856414198875427,0.011119924485683441,9.14586353302002,2.389348268508911,20,4,16,False,False,False,True
165,165,35.993194580078125,3.478773832321167,0.5127821564674377,0.22683966159820557,0.22651681303977966,11.328510284423828,0.48379164934158325,0.011103370226919651,9.150376319885254,1.9837255477905273,20,4,16,False,False,False,True
170,170,35.75947189331055,3.476595878601074,0.5082865953445435,0.22780178487300873,0.22740158438682556,11.422685623168945,0.4813196361064911,0.011112701147794724,9.147679328918457,2.2104852199554443,20,4,16,False,False,False,True
175,175,35.635257720947266,3.4724438190460205,0.5036579370498657,0.2298218160867691,0.22932638227939606,11.515707015991211,0.47721022367477417,0.011108589358627796,9.137253761291504,2.2303569316864014,20,4,16,False,False,False,True
180,180,35.622013092041016,3.4674015045166016,0.49703916907310486,0.22948546707630157,0.22901348769664764,11.62725830078125,0.4762163460254669,0.011065138503909111,9.14102554321289,2.632101535797119,20,4,16,False,False,False,True
185,185,35.31074523925781,3.4655203819274902,0.48945528268814087,0.22797991335391998,0.2275705188512802,11.738784790039062,0.4765550494194031,0.011086693964898586,9.14778995513916,1.6351008415222168,20,4,16,False,False,False,True
190,190,35.353515625,3.4640047550201416,0.4822292625904083,0.2278352528810501,0.22743290662765503,11.818277359008789,0.47533929347991943,0.011122914031147957,9.147359848022461,1.8921291828155518,20,4,16,False,False,False,True
195,195,35.23396301269531,3.468815326690674,0.47457465529441833,0.22904591262340546,0.228584885597229,11.883350372314453,0.4723888039588928,0.011127869598567486,9.137743949890137,1.661141037940979,20,4,16,False,False,False,True
200,200,35.079444885253906,3.473749876022339,0.4664997458457947,0.22972805798053741,0.22923412919044495,11.946273803710938,0.4706295132637024,0.01112079992890358,9.130897521972656,1.3285906314849854,20,4,16,False,False,False,True
205,205,35.02190399169922,3.4743778705596924,0.45911940932273865,0.22993013262748718,0.2294468730688095,11.99592399597168,0.4700627326965332,0.011254998855292797,9.132503509521484,1.545027494430542,20,4,16,False,False,False,True
210,210,34.973358154296875,3.47381329536438,0.4516275227069855,0.22963733971118927,0.22916367650032043,12.046819686889648,0.47037801146507263,0.01151423528790474,9.140381813049316,1.616156816482544,20,4,16,False,False,False,True
215,215,34.881690979003906,3.472672462463379,0.44512122869491577,0.2301974594593048,0.22971096634864807,12.090927124023438,0.46934202313423157,0.011723869480192661,9.135523796081543,1.9360116720199585,20,4,16,False,False,False,True
220,220,34.80789566040039,3.4746150970458984,0.43769845366477966,0.23223866522312164,0.23176167905330658,12.124366760253906,0.46609634160995483,0.0117825698107481,9.126180648803711,1.2235156297683716,20,4,16,False,False,False,True
225,225,34.81171798706055,3.475964307785034,0.43306800723075867,0.23401929438114166,0.2334931492805481,12.147396087646484,0.46306464076042175,0.011806902475655079,9.111499786376953,1.0033047199249268,20,4,16,False,False,False,True
230,230,34.79608154296875,3.47719669342041,0.4285392463207245,0.23457323014736176,0.23396475613117218,12.167272567749023,0.4616260528564453,0.0119707603007555,9.10161304473877,1.1941794157028198,20,4,16,False,False,False,True
235,235,34.728309631347656,3.476747989654541,0.42274805903434753,0.23459820449352264,0.2340232878923416,12.176691055297852,0.4616834223270416,0.012230977416038513,9.098228454589844,2.225813150405884,20,4,16,False,False,False,True
240,240,34.697364807128906,3.476426839828491,0.4167165458202362,0.23400235176086426,0.2335129678249359,12.192207336425781,0.46291300654411316,0.012532729655504227,9.105700492858887,1.0358779430389404,20,4,16,False,False,False,True
245,245,34.632606506347656,3.479757785797119,0.41370612382888794,0.23452933132648468,0.2340528666973114,12.199058532714844,0.46229609847068787,0.012711676768958569,9.101790428161621,1.7968952655792236,20,4,16,False,False,False,True
250,250,34.58635330200195,3.4799933433532715,0.41111132502555847,0.23558726906776428,0.23510058224201202,12.196327209472656,0.46069443225860596,0.0129201365634799,9.089914321899414,1.6667826175689697,20,4,16,False,False,False,True
255,255,34.52594757080078,3.481306791305542,0.406462699174881,0.23696468770503998,0.23646651208400726,12.192886352539062,0.4584740996360779,0.013027381151914597,9.074374198913574,3.432785749435425,20,4,16,False,False,False,True
260,260,34.551780700683594,3.482448101043701,0.40319252014160156,0.23794426023960114,0.23750123381614685,12.20010757446289,0.4575817883014679,0.013185296207666397,9.068488121032715,0.892547607421875,20,4,16,False,False,False,True
265,265,34.511993408203125,3.4844865798950195,0.3984927833080292,0.2387690395116806,0.2384187877178192,12.19422721862793,0.45751720666885376,0.013563663698732853,9.077753067016602,0.8225796818733215,20,4,16,False,False,False,True
270,270,34.5322265625,3.4858510494232178,0.3976466655731201,0.23975107073783875,0.2394113689661026,12.177398681640625,0.45679810643196106,0.013843021355569363,9.0846529006958,0.6771613955497742,20,4,16,False,False,False,True
275,275,34.46478271484375,3.4877727031707764,0.3965464234352112,0.24074026942253113,0.24039146304130554,12.164579391479492,0.45502832531929016,0.014008734375238419,9.072546005249023,0.7097333669662476,20,4,16,False,False,False,True
280,280,34.46974563598633,3.488623857498169,0.39280086755752563,0.2410275787115097,0.24075894057750702,12.171934127807617,0.45475900173187256,0.014439159072935581,9.080209732055664,0.6721864938735962,20,4,16,False,False,False,True
285,285,34.412078857421875,3.4905316829681396,0.38913318514823914,0.2409188598394394,0.24078509211540222,12.179370880126953,0.45560961961746216,0.014730776660144329,9.101635932922363,0.6807038187980652,20,4,16,False,False,False,True
290,290,34.41088104248047,3.4897119998931885,0.38751471042633057,0.24123872816562653,0.24121816456317902,12.175714492797852,0.45602989196777344,0.015099394135177135,9.114168167114258,1.231385350227356,20,4,16,False,False,False,True
295,295,34.3810920715332,3.4925143718719482,0.3854489326477051,0.24197357892990112,0.24194763600826263,12.15504264831543,0.4547973871231079,0.014994435012340546,9.109014511108398,2.161165475845337,20,4,16,False,False,False,True
300,300,34.35604476928711,3.4935812950134277,0.38373973965644836,0.24293874204158783,0.24289709329605103,12.140426635742188,0.45336636900901794,0.014954183250665665,9.103524208068848,0.8043244481086731,20,4,16,False,False,False,True
