epoch,optimizer_steps,train_negative_mc_log_posterior_per_path,validation_suffix_nll_per_exposure,validation_prefix_cluster_entropy,validation_prior_attention_diagonal,validation_prefix_posterior_attention_diagonal,mean_matrix_hyperprior_penalty,mean_abs_mean_matrix_minus_identity,minimum_mean_matrix_eigenvalue,maximum_mean_matrix_eigenvalue,gradient_norm,degrees_of_freedom,train_samples,validation_samples,uses_local_w_parameters,uses_elbo,uses_lal_logic,w_is_integrated_by_monte_carlo
5,5,46.59941482543945,4.794272422790527,1.0937800407409668,0.5969403982162476,0.596901535987854,0.044098854064941406,0.02439182810485363,0.8114315867424011,1.172607421875,1.008986234664917,20,4,16,False,False,False,True
10,10,46.54961395263672,4.789513111114502,1.0928661823272705,0.5932712554931641,0.5932859778404236,0.10027694702148438,0.03399689868092537,0.7260968685150146,1.2732534408569336,1.0020214319229126,20,4,16,False,False,False,True
15,15,46.4854850769043,4.782687664031982,1.0912022590637207,0.5873652696609497,0.5874035954475403,0.19478893280029297,0.046245455741882324,0.6270888447761536,1.4180482625961304,1.044994592666626,20,4,16,False,False,False,True
20,20,46.466617584228516,4.772236347198486,1.0889358520507812,0.5780421495437622,0.578011155128479,0.3415703773498535,0.0597199946641922,0.5393753051757812,1.6002758741378784,1.0256295204162598,20,4,16,False,False,False,True
25,25,46.28730773925781,4.756075382232666,1.0849097967147827,0.5640891790390015,0.5638832449913025,0.5597295761108398,0.07520972192287445,0.4559903144836426,1.8787490129470825,1.0158640146255493,20,4,16,False,False,False,True
30,30,46.078041076660156,4.73144006729126,1.0766417980194092,0.5445812940597534,0.5440636277198792,0.8694581985473633,0.09401752054691315,0.3767767548561096,2.2616212368011475,1.058539867401123,20,4,16,False,False,False,True
35,35,45.920616149902344,4.693963527679443,1.056733250617981,0.5186301469802856,0.5175555944442749,1.2989816665649414,0.11912459135055542,0.30436474084854126,2.823211669921875,1.2466169595718384,20,4,16,False,False,False,True
40,40,45.54957580566406,4.641936302185059,1.0102542638778687,0.48714229464530945,0.48531079292297363,1.8531055450439453,0.15398520231246948,0.24745142459869385,3.5114591121673584,1.4819626808166504,20,4,16,False,False,False,True
45,45,45.085506439208984,4.574999809265137,0.9223159551620483,0.45214349031448364,0.44913914799690247,2.5098953247070312,0.19497308135032654,0.20229679346084595,4.294787406921387,1.647482991218567,20,4,16,False,False,False,True
50,50,44.53874969482422,4.490519046783447,0.8004633784294128,0.4167841970920563,0.41213053464889526,3.2545394897460938,0.2379700392484665,0.16159723699092865,5.108584880828857,1.8203468322753906,20,4,16,False,False,False,True
55,55,43.84925842285156,4.3906941413879395,0.6693398356437683,0.38623547554016113,0.38053983449935913,4.041881561279297,0.27550259232521057,0.1285565346479416,5.869095325469971,2.105783700942993,20,4,16,False,False,False,True
60,60,43.08501434326172,4.232368469238281,0.5460531711578369,0.35830581188201904,0.35243645310401917,4.850691795349121,0.311450332403183,0.1056138426065445,6.587123394012451,3.349055290222168,20,4,16,False,False,False,True
65,65,41.908321380615234,4.041049957275391,0.4241410195827484,0.3378736972808838,0.33259686827659607,5.592484474182129,0.3371310830116272,0.09013054519891739,7.12974214553833,2.583939552307129,20,4,16,False,False,False,True
70,70,41.428955078125,3.9691548347473145,0.333035945892334,0.32212328910827637,0.31806525588035583,6.285465240478516,0.3543107211589813,0.07439182698726654,7.494087219238281,3.214543104171753,20,4,16,False,False,False,True
75,75,41.153465270996094,3.930178165435791,0.2995460331439972,0.3061249256134033,0.30319079756736755,6.931580543518066,0.37031951546669006,0.06032372638583183,7.734817981719971,3.49151873588562,20,4,16,False,False,False,True
80,80,40.69043731689453,3.895326852798462,0.3032374083995819,0.2892757058143616,0.287175714969635,7.512707710266113,0.3860035240650177,0.0507984384894371,7.869797229766846,3.0282063484191895,20,4,16,False,False,False,True
85,85,40.305240631103516,3.874300241470337,0.3242079019546509,0.27134186029434204,0.2696382701396942,8.041324615478516,0.4036867916584015,0.04492277652025223,7.993511199951172,2.2241055965423584,20,4,16,False,False,False,True
90,90,39.95268630981445,3.8665168285369873,0.3353673815727234,0.2578558325767517,0.25618165731430054,8.471858024597168,0.4161229133605957,0.040961235761642456,8.060247421264648,2.3059263229370117,20,4,16,False,False,False,True
95,95,39.74980163574219,3.828979730606079,0.3376007378101349,0.24717570841312408,0.24545128643512726,8.845865249633789,0.4254949390888214,0.03811069577932358,8.122495651245117,2.1291770935058594,20,4,16,False,False,False,True
100,100,39.41209411621094,3.8176941871643066,0.33879774808883667,0.23904810845851898,0.23722217977046967,9.20208740234375,0.42958396673202515,0.035428766161203384,8.127299308776855,2.511277675628662,20,4,16,False,False,False,True
105,105,38.98058319091797,3.8048906326293945,0.34057027101516724,0.23340491950511932,0.23147276043891907,9.549095153808594,0.4295939803123474,0.03275706246495247,8.080541610717773,2.0462889671325684,20,4,16,False,False,False,True
110,110,38.77137756347656,3.7977185249328613,0.33073246479034424,0.22903408110141754,0.22696372866630554,9.888671875,0.42900675535202026,0.02968868799507618,8.045199394226074,1.8752403259277344,20,4,16,False,False,False,True
115,115,38.485260009765625,3.79097843170166,0.32748374342918396,0.2266806960105896,0.22460806369781494,10.212142944335938,0.42564308643341064,0.026132849976420403,7.975228309631348,2.2867398262023926,20,4,16,False,False,False,True
120,120,38.46441650390625,3.7856197357177734,0.32912588119506836,0.22608818113803864,0.22414730489253998,10.52230453491211,0.4194062054157257,0.022230643779039383,7.877521991729736,2.196404457092285,20,4,16,False,False,False,True
125,125,38.32105255126953,3.7724061012268066,0.3335835337638855,0.22539596259593964,0.2236020863056183,10.80003547668457,0.41369712352752686,0.01864352636039257,7.796938896179199,1.9539629220962524,20,4,16,False,False,False,True
130,130,38.12818145751953,3.7643346786499023,0.33435148000717163,0.22413484752178192,0.22242771089076996,11.063591003417969,0.4109632670879364,0.01617557369172573,7.749939918518066,1.786408543586731,20,4,16,False,False,False,True
