epoch,optimizer_steps,train_negative_mc_log_posterior_per_path,validation_suffix_nll_per_exposure,validation_prefix_cluster_entropy,validation_prior_attention_diagonal,validation_prefix_posterior_attention_diagonal,mean_matrix_hyperprior_penalty,mean_abs_mean_matrix_minus_identity,minimum_mean_matrix_eigenvalue,maximum_mean_matrix_eigenvalue,gradient_norm,degrees_of_freedom,train_samples,validation_samples,uses_local_w_parameters,uses_elbo,uses_lal_logic,w_is_integrated_by_monte_carlo
5,5,51.64837646484375,5.87531852722168,1.0827155113220215,0.5964521765708923,0.5932528376579285,0.047228336334228516,0.02481253631412983,0.8079807162284851,1.2221076488494873,8.640750885009766,20,4,16,False,False,False,True
10,10,50.073612213134766,5.551645278930664,1.0850285291671753,0.5902225971221924,0.5874272584915161,0.13855838775634766,0.040130436420440674,0.6689034700393677,1.37613046169281,8.067763328552246,20,4,16,False,False,False,True
15,15,48.27690505981445,5.148378849029541,1.088261365890503,0.5795598030090332,0.5773462653160095,0.2939949035644531,0.05610087141394615,0.5403038263320923,1.5653077363967896,7.297465801239014,20,4,16,False,False,False,True
20,20,46.403499603271484,4.7300825119018555,1.0898609161376953,0.5631781816482544,0.5616921186447144,0.5392799377441406,0.07450155168771744,0.4333533048629761,1.817147970199585,6.356982231140137,20,4,16,False,False,False,True
25,25,44.71268844604492,4.480460166931152,1.0888253450393677,0.5408862829208374,0.5398877263069153,0.8857870101928711,0.09805581718683243,0.34501296281814575,2.1400644779205322,7.689084529876709,20,4,16,False,False,False,True
30,30,42.66555404663086,4.356313228607178,1.0837297439575195,0.5151454210281372,0.5139599442481995,1.3051395416259766,0.12495214492082596,0.27280616760253906,2.5057778358459473,7.351646423339844,20,4,16,False,False,False,True
35,35,40.24577331542969,4.085719108581543,1.058725357055664,0.4894779622554779,0.4872278571128845,1.7498865127563477,0.1487695872783661,0.2134355902671814,2.8581223487854004,7.00675106048584,20,4,16,False,False,False,True
40,40,38.8179817199707,3.8984932899475098,0.9633853435516357,0.46798285841941833,0.4644119143486023,2.155369758605957,0.1661543846130371,0.168047234416008,3.1658248901367188,4.6627092361450195,20,4,16,False,False,False,True
45,45,38.2358283996582,3.818665027618408,0.7701663374900818,0.44918522238731384,0.4455191195011139,2.5551719665527344,0.1785658448934555,0.13937163352966309,3.521031618118286,8.005633354187012,20,4,16,False,False,False,True
50,50,36.77461624145508,3.7430548667907715,0.6287493109703064,0.43163105845451355,0.4280281364917755,3.0156421661376953,0.18959186971187592,0.11983437091112137,3.9614100456237793,3.206850051879883,20,4,16,False,False,False,True
55,55,36.58255386352539,3.7159035205841064,0.5518350005149841,0.4168691039085388,0.41417476534843445,3.5238304138183594,0.20155294239521027,0.10470541566610336,4.395187854766846,5.221329212188721,20,4,16,False,False,False,True
60,60,36.10617446899414,3.6689205169677734,0.5161355137825012,0.4059840440750122,0.4043389558792114,3.9935903549194336,0.21368242800235748,0.0891442522406578,4.7125139236450195,2.6476352214813232,20,4,16,False,False,False,True
65,65,36.14860916137695,3.650444984436035,0.5045475363731384,0.39827457070350647,0.3973097801208496,4.355660438537598,0.22396868467330933,0.07645773887634277,4.925864219665527,2.9566643238067627,20,4,16,False,False,False,True
70,70,35.81547927856445,3.644695281982422,0.49897435307502747,0.3918535113334656,0.3912222683429718,4.634889602661133,0.23314015567302704,0.06848926097154617,5.081737518310547,2.3022255897521973,20,4,16,False,False,False,True
75,75,35.77592468261719,3.635953903198242,0.4894771873950958,0.38599956035614014,0.38568875193595886,4.846928596496582,0.24099434912204742,0.0641108900308609,5.195947647094727,2.4368832111358643,20,4,16,False,False,False,True
80,80,35.6312141418457,3.6312623023986816,0.4742199778556824,0.38030049204826355,0.38010889291763306,5.028387069702148,0.24785248935222626,0.061659134924411774,5.28508996963501,6.6151509284973145,20,4,16,False,False,False,True
85,85,35.60390853881836,3.6292507648468018,0.4583258032798767,0.3748253285884857,0.37443673610687256,5.197440147399902,0.254731148481369,0.060710545629262924,5.371613502502441,6.139680862426758,20,4,16,False,False,False,True
90,90,35.44903564453125,3.6349918842315674,0.4445778429508209,0.3692436218261719,0.36859041452407837,5.348976135253906,0.2594396471977234,0.060101233422756195,5.43037748336792,3.75020170211792,20,4,16,False,False,False,True
95,95,35.34560775756836,3.6471610069274902,0.4272932708263397,0.3627854287624359,0.36183640360832214,5.504980087280273,0.26354795694351196,0.05866052955389023,5.479586601257324,4.481863021850586,20,4,16,False,False,False,True
100,100,35.16017532348633,3.646183967590332,0.39677852392196655,0.35590866208076477,0.35489365458488464,5.667867660522461,0.26859864592552185,0.0561196506023407,5.527312278747559,8.194765090942383,20,4,16,False,False,False,True
105,105,35.0733528137207,3.63590669631958,0.3789498507976532,0.3493393659591675,0.34860700368881226,5.851174354553223,0.27481913566589355,0.05271489545702934,5.600781440734863,2.520369052886963,20,4,16,False,False,False,True
110,110,34.84346389770508,3.6222546100616455,0.37533360719680786,0.34441012144088745,0.3437330722808838,6.055481910705566,0.27916619181632996,0.05061322823166847,5.673108100891113,1.7853314876556396,20,4,16,False,False,False,True
115,115,34.706642150878906,3.5911922454833984,0.363530695438385,0.3393701910972595,0.3385947346687317,6.258258819580078,0.28441640734672546,0.04937530308961868,5.755612373352051,2.2219972610473633,20,4,16,False,False,False,True
120,120,34.629817962646484,3.572192907333374,0.34424957633018494,0.3346441388130188,0.3336702585220337,6.425756454467773,0.28971409797668457,0.047920312732458115,5.852329730987549,4.757893085479736,20,4,16,False,False,False,True
125,125,34.44674301147461,3.5605313777923584,0.3242605924606323,0.33163169026374817,0.3304189443588257,6.527807235717773,0.29308247566223145,0.04724259674549103,5.919715404510498,1.650147795677185,20,4,16,False,False,False,True
130,130,34.483219146728516,3.540095567703247,0.30703607201576233,0.32881632447242737,0.3275081217288971,6.6070098876953125,0.2951104938983917,0.046628378331661224,5.9563798904418945,1.0791120529174805,20,4,16,False,False,False,True
135,135,34.43265914916992,3.5374059677124023,0.29839783906936646,0.32684674859046936,0.32551681995391846,6.661283493041992,0.29787516593933105,0.04621601477265358,5.981228828430176,1.1832104921340942,20,4,16,False,False,False,True
140,140,34.234920501708984,3.536400556564331,0.28878429532051086,0.3252027630805969,0.32376307249069214,6.708272933959961,0.3003266155719757,0.04559578001499176,6.022404193878174,2.798156499862671,20,4,16,False,False,False,True
145,145,34.265602111816406,3.536703586578369,0.2750127613544464,0.3234066367149353,0.3218397796154022,6.753517150878906,0.3026829659938812,0.04482237249612808,6.084968566894531,5.142934799194336,20,4,16,False,False,False,True
150,150,34.3311653137207,3.5345752239227295,0.269477903842926,0.3225710988044739,0.32095208764076233,6.795126914978027,0.3029156029224396,0.04342353343963623,6.126288890838623,4.735077381134033,20,4,16,False,False,False,True
155,155,34.30488204956055,3.5325324535369873,0.2632182538509369,0.3211480975151062,0.3195417523384094,6.8650360107421875,0.30309420824050903,0.04180386662483215,6.163336753845215,6.019736289978027,20,4,16,False,False,False,True
160,160,34.2013053894043,3.534754753112793,0.2612351179122925,0.3196280300617218,0.3180175721645355,6.934751510620117,0.30359718203544617,0.04032202437520027,6.202108383178711,3.2648983001708984,20,4,16,False,False,False,True
