row,column,value
0,0,0.37604472
0,1,-0.12487151
0,2,-0.3925135
0,3,-0.079361
0,4,0.09965786
0,5,0.3432227
0,6,0.01896412
0,7,0.00504383
0,8,0.3949253
0,9,0.18702263
0,10,-0.25979263
0,11,0.21400084
0,12,0.36391813
0,13,-0.0006496768
0,14,-0.6006115
1,0,-0.12487151
1,1,0.37231237
1,2,0.23996624
1,3,0.18007438
1,4,-0.31897688
1,5,-0.006076023
1,6,-0.06312184
1,7,0.02234646
1,8,-0.39344513
1,9,-0.2922662
1,10,0.16589566
1,11,0.19695173
1,12,-0.335705
1,13,0.017165985
1,14,0.2930089
2,0,-0.3925135
2,1,0.23996624
2,2,0.5796522
2,3,0.15774941
2,4,-0.23821375
2,5,-0.3400286
2,6,-0.10294673
2,7,0.037315466
2,8,-0.6155328
2,9,-0.23393908
2,10,0.5331758
2,11,-0.051380463
2,12,-0.6699875
2,13,-0.015433891
2,14,0.7598782
3,0,-0.079361
3,1,0.18007438
3,2,0.15774941
3,3,0.4721564
3,4,-0.20580962
3,5,-0.0014171246
3,6,-0.006547671
3,7,-0.022056585
3,8,-0.5012649
3,9,-0.47797608
3,10,0.14218578
3,11,0.074304625
3,12,-0.3914103
3,13,0.067146495
3,14,0.39585721
4,0,0.09965786
4,1,-0.31897688
4,2,-0.23821375
4,3,-0.20580962
4,4,0.54358673
4,5,-0.14378473
4,6,0.07006713
4,7,-0.010548132
4,8,0.5132107
4,9,0.20603922
4,10,-0.20993735
4,11,-0.55319697
4,12,0.5342369
4,13,-0.009995939
4,14,-0.2532943
5,0,0.3432227
5,1,-0.006076023
5,2,-0.3400286
5,3,-0.0014171246
5,4,-0.14378473
5,5,0.7727564
5,6,-0.032437354
5,7,0.0029767007
5,8,0.22525494
5,9,0.12189211
5,10,-0.064061746
5,11,0.76290023
5,12,0.025012359
5,13,0.02154935
5,14,-0.7643323
6,0,0.01896412
6,1,-0.06312184
6,2,-0.10294673
6,3,-0.006547671
6,4,0.07006713
6,5,-0.032437354
6,6,0.86381245
6,7,-0.033544388
6,8,0.071403
6,9,-0.04465112
6,10,-0.17811511
6,11,-0.15243807
6,12,0.1700216
6,13,-0.0013350397
6,14,-0.08172857
7,0,0.00504383
7,1,0.02234646
7,2,0.037315466
7,3,-0.022056585
7,4,-0.010548132
7,5,0.0029767007
7,6,-0.033544388
7,7,0.87943345
7,8,0.0021040505
7,9,-0.00013679452
7,10,-0.01279287
7,11,0.027581275
7,12,-0.0061735846
7,13,-0.0072857332
7,14,0.0048222677
8,0,0.3949253
8,1,-0.39344513
8,2,-0.6155328
8,3,-0.5012649
8,4,0.5132107
8,5,0.22525494
8,6,0.071403
8,7,0.0021040505
8,8,1.2212929
8,9,0.78438145
8,10,-0.7176408
8,11,-0.004731402
8,12,1.2446072
8,13,-0.07702792
8,14,-1.1423149
9,0,0.18702263
9,1,-0.2922662
9,2,-0.23393908
9,3,-0.47797608
9,4,0.20603922
9,5,0.12189211
9,6,-0.04465112
9,7,-0.00013679452
9,8,0.78438145
9,9,1.0441309
9,10,-0.20126122
9,11,0.35789496
9,12,0.6834534
9,13,-0.1160085
9,14,-0.707525
10,0,-0.25979263
10,1,0.16589566
10,2,0.5331758
10,3,0.14218578
10,4,-0.20993735
10,5,-0.064061746
10,6,-0.17811511
10,7,-0.01279287
10,8,-0.7176408
10,9,-0.20126122
10,10,1.2518789
10,11,0.11772887
10,12,-1.3907391
10,13,-0.022226833
10,14,0.5366517
11,0,0.21400084
11,1,0.19695173
11,2,-0.051380463
11,3,0.074304625
11,4,-0.55319697
11,5,0.76290023
11,6,-0.15243807
11,7,0.027581275
11,8,-0.004731402
11,9,0.35789496
11,10,0.11772887
11,11,1.5435804
11,12,-0.23369192
11,13,0.14567177
11,14,-0.63882303
12,0,0.36391813
12,1,-0.335705
12,2,-0.6699875
12,3,-0.3914103
12,4,0.5342369
12,5,0.025012359
12,6,0.1700216
12,7,-0.0061735846
12,8,1.2446072
12,9,0.6834534
12,10,-1.3907391
12,11,-0.23369192
12,12,2.1265044
12,13,0.16358633
12,14,-0.9809223
13,0,-0.0006496768
13,1,0.017165985
13,2,-0.015433891
13,3,0.067146495
13,4,-0.009995939
13,5,0.02154935
13,6,-0.0013350397
13,7,-0.0072857332
13,8,-0.07702792
13,9,-0.1160085
13,10,-0.022226833
13,11,0.14567177
13,12,0.16358633
13,13,1.1864122
13,14,-0.058968686
14,0,-0.6006115
14,1,0.2930089
14,2,0.7598782
14,3,0.39585721
14,4,-0.2532943
14,5,-0.7643323
14,6,-0.08172857
14,7,0.0048222677
14,8,-1.1423149
14,9,-0.707525
14,10,0.5366517
14,11,-0.63882303
14,12,-0.9809223
14,13,-0.058968686
14,14,1.7664465
