row,column,value
0,0,1.1436853
0,1,-0.501709
0,2,0.5554613
0,3,0.34125948
0,4,-0.43924174
0,5,0.09102623
0,6,-0.11371141
0,7,0.12764134
0,8,-5.590568e-05
0,9,0.32112098
0,10,0.6170565
0,11,-0.021814391
0,12,-0.0054802233
0,13,0.095871516
0,14,0.34792152
1,0,-0.501709
1,1,1.0844139
1,2,-0.06684023
1,3,-0.33515996
1,4,0.17280914
1,5,-0.071041
1,6,-0.09293938
1,7,0.15978362
1,8,0.021076156
1,9,-0.011683211
1,10,-0.14321408
1,11,-0.032124642
1,12,-0.0043033566
1,13,-0.028750276
1,14,-0.10139263
2,0,0.5554613
2,1,-0.06684023
2,2,0.98878455
2,3,0.06065353
2,4,-0.4681356
2,5,0.070476666
2,6,-0.34054953
2,7,0.42054692
2,8,0.011184346
2,9,0.40053782
2,10,0.8271378
2,11,-0.032528915
2,12,-0.012992865
2,13,0.1051117
2,14,0.21105364
3,0,0.34125948
3,1,-0.33515996
3,2,0.06065353
3,3,0.9429184
3,4,-0.23414251
3,5,-0.11975783
3,6,-0.20626703
3,7,0.14768824
3,8,-0.058895066
3,9,0.17739564
3,10,0.13818009
3,11,0.16464208
3,12,-0.11106873
3,13,0.39561528
3,14,0.101035215
4,0,-0.43924174
4,1,0.17280914
4,2,-0.4681356
4,3,-0.23414251
4,4,0.8745636
4,5,-0.07782139
4,6,0.50907636
4,7,-0.44214076
4,8,-0.058511134
4,9,-0.41273344
4,10,-0.770273
4,11,-0.00871082
4,12,0.02139678
4,13,-0.37965
4,14,-0.5031779
5,0,0.09102623
5,1,-0.071041
5,2,0.070476666
5,3,-0.11975783
5,4,-0.07782139
5,5,0.85466516
5,6,-0.16897132
5,7,0.19457223
5,8,0.051990915
5,9,0.057123315
5,10,0.34155634
5,11,0.21138945
5,12,0.027833408
5,13,0.052590266
5,14,0.2249318
6,0,-0.11371141
6,1,-0.09293938
6,2,-0.34054953
6,3,-0.20626703
6,4,0.50907636
6,5,-0.16897132
6,6,1.1311016
6,7,-0.719849
6,8,0.08194816
6,9,-0.5332936
6,10,-0.62558454
6,11,-0.15669027
6,12,0.08431758
6,13,-0.6732825
6,14,-0.48906583
7,0,0.12764134
7,1,0.15978362
7,2,0.42054692
7,3,0.14768824
7,4,-0.44214076
7,5,0.19457223
7,6,-0.719849
7,7,1.2327197
7,8,-0.017453572
7,9,0.64153385
7,10,0.66308695
7,11,0.16640387
7,12,-0.03621671
7,13,0.7221519
7,14,0.42368895
8,0,-5.590568e-05
8,1,0.021076156
8,2,0.011184346
8,3,-0.058895066
8,4,-0.058511134
8,5,0.051990915
8,6,0.08194816
8,7,-0.017453572
8,8,0.92339575
8,9,-0.04486665
8,10,0.18952549
8,11,-0.0536071
8,12,0.015915524
8,13,-0.04854721
8,14,0.006066965
9,0,0.32112098
9,1,-0.011683211
9,2,0.40053782
9,3,0.17739564
9,4,-0.41273344
9,5,0.057123315
9,6,-0.5332936
9,7,0.64153385
9,8,-0.04486665
9,9,1.1272234
9,10,0.7209638
9,11,0.008705527
9,12,0.049721256
9,13,0.6086047
9,14,0.44597572
10,0,0.6170565
10,1,-0.14321408
10,2,0.8271378
10,3,0.13818009
10,4,-0.770273
10,5,0.34155634
10,6,-0.62558454
10,7,0.66308695
10,8,0.18952549
10,9,0.7209638
10,10,1.3308051
10,11,0.098042116
10,12,0.0056991028
10,13,0.43889034
10,14,0.5286699
11,0,-0.021814391
11,1,-0.032124642
11,2,-0.032528915
11,3,0.16464208
11,4,-0.00871082
11,5,0.21138945
11,6,-0.15669027
11,7,0.16640387
11,8,-0.0536071
11,9,0.008705527
11,10,0.098042116
11,11,0.6514815
11,12,-0.11569183
11,13,0.13753057
11,14,-0.062178556
12,0,-0.0054802233
12,1,-0.0043033566
12,2,-0.012992865
12,3,-0.11106873
12,4,0.02139678
12,5,0.027833408
12,6,0.08431758
12,7,-0.03621671
12,8,0.015915524
12,9,0.049721256
12,10,0.0056991028
12,11,-0.11569183
12,12,0.7369371
12,13,0.021695163
12,14,0.025407102
13,0,0.095871516
13,1,-0.028750276
13,2,0.1051117
13,3,0.39561528
13,4,-0.37965
13,5,0.052590266
13,6,-0.6732825
13,7,0.7221519
13,8,-0.04854721
13,9,0.6086047
13,10,0.43889034
13,11,0.13753057
13,12,0.021695163
13,13,1.0177352
13,14,0.57352126
14,0,0.34792152
14,1,-0.10139263
14,2,0.21105364
14,3,0.101035215
14,4,-0.5031779
14,5,0.2249318
14,6,-0.48906583
14,7,0.42368895
14,8,0.006066965
14,9,0.44597572
14,10,0.5286699
14,11,-0.062178556
14,12,0.025407102
14,13,0.57352126
14,14,0.95956933
