row,column,value
0,0,1.3970207
0,1,0.78080004
0,2,-0.44078776
0,3,0.024655322
0,4,-0.74475986
0,5,-0.6066482
0,6,-0.24621849
0,7,0.65674
0,8,-0.14573292
0,9,0.20375699
0,10,0.51482666
0,11,0.0997762
0,12,0.040100858
0,13,0.7901236
0,14,0.3287383
1,0,0.78080004
1,1,1.2095553
1,2,-0.7212534
1,3,0.011663603
1,4,-1.0014005
1,5,-0.7928579
1,6,-0.3696862
1,7,0.8318096
1,8,-0.23547284
1,9,0.5286857
1,10,0.855201
1,11,0.10245173
1,12,0.05753433
1,13,1.028813
1,14,0.6831004
2,0,-0.44078776
2,1,-0.7212534
2,2,0.9201219
2,3,-0.01794454
2,4,0.8961506
2,5,0.699013
2,6,0.30193335
2,7,-0.7171759
2,8,0.16453302
2,9,-0.5121648
2,10,-0.79999983
2,11,-0.048557498
2,12,-0.037474208
2,13,-0.9031372
2,14,-0.8029321
3,0,0.024655322
3,1,0.011663603
3,2,-0.01794454
3,3,1.2926081
3,4,-0.20172527
3,5,-0.20997454
3,6,-0.48090848
3,7,0.29041594
3,8,-0.41586065
3,9,0.06884204
3,10,0.14869575
3,11,0.053897433
3,12,0.14166398
3,13,0.43485194
3,14,0.05703239
4,0,-0.74475986
4,1,-1.0014005
4,2,0.8961506
4,3,-0.20172527
4,4,1.2226315
4,5,0.95844966
4,6,0.5434748
4,7,-1.0394851
4,8,0.4016956
4,9,-0.7027308
4,10,-1.0783637
4,11,-0.15988725
4,12,-0.1890735
4,13,-1.3103888
4,14,-0.8635762
5,0,-0.6066482
5,1,-0.7928579
5,2,0.699013
5,3,-0.20997454
5,4,0.95844966
5,5,0.8184329
5,6,0.5054021
5,7,-0.8982485
5,8,0.39982915
5,9,-0.55489373
5,10,-0.8880255
5,11,-0.22561991
5,12,-0.23756224
5,13,-1.1353573
5,14,-0.7190579
6,0,-0.24621849
6,1,-0.3696862
6,2,0.30193335
6,3,-0.48090848
6,4,0.5434748
6,5,0.5054021
6,6,0.64348084
6,7,-0.5991933
6,8,0.44735014
6,9,-0.2575664
6,10,-0.51082486
6,11,-0.23132223
6,12,-0.28693926
6,13,-0.78290623
6,14,-0.3658804
7,0,0.65674
7,1,0.8318096
7,2,-0.7171759
7,3,0.29041594
7,4,-1.0394851
7,5,-0.8982485
7,6,-0.5991933
7,7,1.0709957
7,8,-0.54745024
7,9,0.66221845
7,10,0.9935215
7,11,0.3433614
7,12,0.34416214
7,13,1.3139429
7,14,0.7108377
8,0,-0.14573292
8,1,-0.23547284
8,2,0.16453302
8,3,-0.41586065
8,4,0.4016956
8,5,0.39982915
8,6,0.44735014
8,7,-0.54745024
8,8,0.5786919
8,9,-0.34383032
8,10,-0.41070685
8,11,-0.2116901
8,12,-0.3480425
8,13,-0.69169265
8,14,-0.21445729
9,0,0.20375699
9,1,0.5286857
9,2,-0.5121648
9,3,0.06884204
9,4,-0.7027308
9,5,-0.55489373
9,6,-0.2575664
9,7,0.66221845
9,8,-0.34383032
9,9,0.72007835
9,10,0.7282382
9,11,0.17877437
9,12,0.05604388
9,13,0.8078454
9,14,0.4331833
10,0,0.51482666
10,1,0.855201
10,2,-0.79999983
10,3,0.14869575
10,4,-1.0783637
10,5,-0.8880255
10,6,-0.51082486
10,7,0.9935215
10,8,-0.41070685
10,9,0.7282382
10,10,1.1180598
10,11,0.29136732
10,12,0.21221216
10,13,1.2422725
10,14,0.7495775
11,0,0.0997762
11,1,0.10245173
11,2,-0.048557498
11,3,0.053897433
11,4,-0.15988725
11,5,-0.22561991
11,6,-0.23132223
11,7,0.3433614
11,8,-0.2116901
11,9,0.17877437
11,10,0.29136732
11,11,0.56663305
11,12,0.07958174
11,13,0.4005324
11,14,0.09045533
12,0,0.040100858
12,1,0.05753433
12,2,-0.037474208
12,3,0.14166398
12,4,-0.1890735
12,5,-0.23756224
12,6,-0.28693926
12,7,0.34416214
12,8,-0.3480425
12,9,0.05604388
12,10,0.21221216
12,11,0.07958174
12,12,0.6775602
12,13,0.45736408
12,14,0.05912327
13,0,0.7901236
13,1,1.028813
13,2,-0.9031372
13,3,0.43485194
13,4,-1.3103888
13,5,-1.1353573
13,6,-0.78290623
13,7,1.3139429
13,8,-0.69169265
13,9,0.8078454
13,10,1.2422725
13,11,0.4005324
13,12,0.45736408
13,13,1.7024405
13,14,0.9365993
14,0,0.3287383
14,1,0.6831004
14,2,-0.8029321
14,3,0.05703239
14,4,-0.8635762
14,5,-0.7190579
14,6,-0.3658804
14,7,0.7108377
14,8,-0.21445729
14,9,0.4331833
14,10,0.7495775
14,11,0.09045533
14,12,0.05912327
14,13,0.9365993
14,14,1.061689
