row,column,value
0,0,0.58799833
0,1,-0.15445933
0,2,-0.61169606
0,3,0.32443935
0,4,-0.5609374
0,5,-0.62542635
0,6,-0.28381762
0,7,0.0151618
0,8,0.75540006
0,9,0.50570244
0,10,0.39722684
0,11,-0.5634703
0,12,0.6094698
0,13,0.258827
0,14,0.929662
1,0,-0.15445933
1,1,0.17587793
1,2,0.19581428
1,3,-0.01379434
1,4,0.069764555
1,5,0.21265563
1,6,0.12255114
1,7,-0.035608366
1,8,-0.24826348
1,9,-0.13609149
1,10,-0.08811637
1,11,0.2510261
1,12,-0.28104484
1,13,-0.07057287
1,14,-0.32571733
2,0,-0.61169606
2,1,0.19581428
2,2,0.67713296
2,3,-0.24169496
2,4,0.5597963
2,5,0.69055754
2,6,0.31610078
2,7,-0.018928533
2,8,-0.8193131
2,9,-0.5385758
2,10,-0.46963096
2,11,0.6575334
2,12,-0.7240908
2,13,-0.2624461
2,14,-1.020723
3,0,0.32443935
3,1,-0.01379434
3,2,-0.24169496
3,3,0.48632216
3,4,-0.20225571
3,5,-0.26127505
3,6,-0.12630081
3,7,0.012090801
3,8,0.3502507
3,9,0.2413139
3,10,0.13661672
3,11,-0.18383694
3,12,0.21883008
3,13,0.103612065
3,14,0.41044924
4,0,-0.5609374
4,1,0.069764555
4,2,0.5597963
4,3,-0.20225571
4,4,0.91609097
4,5,0.53876466
4,6,0.18155079
4,7,0.04618842
4,8,-0.6795276
4,9,-0.45703357
4,10,-0.38493675
4,11,0.38403103
4,12,-0.38193807
4,13,-0.34781897
4,14,-0.8101357
5,0,-0.62542635
5,1,0.21265563
5,2,0.69055754
5,3,-0.26127505
5,4,0.53876466
5,5,0.95445824
5,6,0.18781333
5,7,0.08059986
5,8,-0.8786971
5,9,-0.5193322
5,10,-0.5964634
5,11,0.6820597
5,12,-0.89273506
5,13,-0.020162478
5,14,-1.120719
6,0,-0.28381762
6,1,0.12255114
6,2,0.31610078
6,3,-0.12630081
6,4,0.18155079
6,5,0.18781333
6,6,1.0362786
6,7,0.019485995
6,8,-0.4384148
6,9,-0.15380014
6,10,0.01757703
6,11,0.4077437
6,12,-0.32491308
6,13,-0.0063100755
6,14,-0.50179255
7,0,0.0151618
7,1,-0.035608366
7,2,-0.018928533
7,3,0.012090801
7,4,0.04618842
7,5,0.08059986
7,6,0.019485995
7,7,1.139574
7,8,-0.049143303
7,9,-0.06714345
7,10,-0.015638188
7,11,-0.02097234
7,12,-0.034932632
7,13,-0.024086073
7,14,-0.020382091
8,0,0.75540006
8,1,-0.24826348
8,2,-0.8193131
8,3,0.3502507
8,4,-0.6795276
8,5,-0.8786971
8,6,-0.4384148
8,7,-0.049143303
8,8,1.1130764
8,9,0.6978063
8,10,0.4906246
8,11,-0.91031075
8,12,0.99383175
8,13,0.18425465
8,14,1.3168674
9,0,0.50570244
9,1,-0.13609149
9,2,-0.5385758
9,3,0.2413139
9,4,-0.45703357
9,5,-0.5193322
9,6,-0.15380014
9,7,-0.06714345
9,8,0.6978063
9,9,0.9000741
9,10,0.037283503
9,11,-0.59800565
9,12,0.5439626
9,13,-0.0049731135
9,14,0.8438913
10,0,0.39722684
10,1,-0.08811637
10,2,-0.46963096
10,3,0.13661672
10,4,-0.38493675
10,5,-0.5964634
10,6,0.01757703
10,7,-0.015638188
10,8,0.4906246
10,9,0.037283503
10,10,1.3625097
10,11,-0.26130334
10,12,0.79990953
10,13,-0.026445854
10,14,0.7553965
11,0,-0.5634703
11,1,0.2510261
11,2,0.6575334
11,3,-0.18383694
11,4,0.38403103
11,5,0.6820597
11,6,0.4077437
11,7,-0.02097234
11,8,-0.91031075
11,9,-0.59800565
11,10,-0.26130334
11,11,1.0920153
11,12,-0.87891185
11,13,0.054003075
11,14,-1.1136388
12,0,0.6094698
12,1,-0.28104484
12,2,-0.7240908
12,3,0.21883008
12,4,-0.38193807
12,5,-0.89273506
12,6,-0.32491308
12,7,-0.034932632
12,8,0.99383175
12,9,0.5439626
12,10,0.79990953
12,11,-0.87891185
12,12,1.3679397
12,13,-0.076263204
12,14,1.2554759
13,0,0.258827
13,1,-0.07057287
13,2,-0.2624461
13,3,0.103612065
13,4,-0.34781897
13,5,-0.020162478
13,6,-0.0063100755
13,7,-0.024086073
13,8,0.18425465
13,9,-0.0049731135
13,10,-0.026445854
13,11,0.054003075
13,12,-0.076263204
13,13,1.4511613
13,14,0.15252896
14,0,0.929662
14,1,-0.32571733
14,2,-1.020723
14,3,0.41044924
14,4,-0.8101357
14,5,-1.120719
14,6,-0.50179255
14,7,-0.020382091
14,8,1.3168674
14,9,0.8438913
14,10,0.7553965
14,11,-1.1136388
14,12,1.2554759
14,13,0.15252896
14,14,1.7394905
