row,column,value
0,0,1.0368272
0,1,-0.42717436
0,2,-0.59596545
0,3,-0.24557641
0,4,0.27208352
0,5,0.023408297
0,6,0.70138556
0,7,0.7688833
0,8,-0.012608093
0,9,-0.9141868
0,10,0.5782978
0,11,-0.1636231
0,12,0.000894268
0,13,0.66435933
0,14,-0.43104735
1,0,-0.42717436
1,1,0.772184
1,2,0.10594614
1,3,0.4696972
1,4,-0.21970351
1,5,0.02318768
1,6,-0.27930227
1,7,-0.35181364
1,8,0.16842255
1,9,0.4012826
1,10,-0.11369301
1,11,0.09120741
1,12,-0.025111731
1,13,-0.34289813
1,14,0.23724084
2,0,-0.59596545
2,1,0.10594614
2,2,0.76251495
2,3,-0.121672496
2,4,-0.34524772
2,5,-0.040185243
2,6,-0.44773778
2,7,-0.51153946
2,8,-0.055986345
2,9,0.7162446
2,10,-0.7038153
2,11,0.02794043
2,12,0.0043728743
2,13,-0.721984
2,14,0.39645347
3,0,-0.24557641
3,1,0.4696972
3,2,-0.121672496
3,3,0.9453146
3,4,0.38285393
3,5,0.26044825
3,6,-0.29000232
3,7,-0.3783425
3,8,0.035759762
3,9,0.22574915
3,10,0.29689023
3,11,-0.031210132
3,12,-0.07470349
3,13,0.3335926
3,14,-0.09609343
4,0,0.27208352
4,1,-0.21970351
4,2,-0.34524772
4,3,0.38285393
4,4,0.9380971
4,5,0.046967447
4,6,0.18729344
4,7,0.065662265
4,8,-0.007362142
4,9,-0.3569705
4,10,0.5985285
4,11,0.043507174
4,12,-0.002791267
4,13,1.0206742
4,14,-0.43416208
5,0,0.023408297
5,1,0.02318768
5,2,-0.040185243
5,3,0.26044825
5,4,0.046967447
5,5,1.1884947
5,6,-0.119907185
5,7,-0.2532273
5,8,-0.043512817
5,9,0.10045551
5,10,0.5020884
5,11,-0.47166896
5,12,-0.032305643
5,13,0.18002388
5,14,-0.23789595
6,0,0.70138556
6,1,-0.27930227
6,2,-0.44773778
6,3,-0.29000232
6,4,0.18729344
6,5,-0.119907185
6,6,0.81096715
6,7,0.7098666
6,8,0.05752091
6,9,-0.7279334
6,10,0.36572975
6,11,-0.009398233
6,12,-0.020528397
6,13,0.44872537
6,14,-0.23207244
7,0,0.7688833
7,1,-0.35181364
7,2,-0.51153946
7,3,-0.3783425
7,4,0.065662265
7,5,-0.2532273
7,6,0.7098666
7,7,1.0353582
7,8,0.13073549
7,9,-0.8138612
7,10,0.27364853
7,11,-0.024770696
7,12,-0.016581144
7,13,0.34193873
7,14,-0.13399386
8,0,-0.012608093
8,1,0.16842255
8,2,-0.055986345
8,3,0.035759762
8,4,-0.007362142
8,5,-0.043512817
8,6,0.05752091
8,7,0.13073549
8,8,1.1282043
8,9,-0.03190295
8,10,0.06936347
8,11,0.073278606
8,12,0.23728098
8,13,-0.026449759
8,14,0.0077548176
9,0,-0.9141868
9,1,0.4012826
9,2,0.7162446
9,3,0.22574915
9,4,-0.3569705
9,5,0.10045551
9,6,-0.7279334
9,7,-0.8138612
9,8,-0.03190295
9,9,1.0571887
9,10,-0.60271376
9,11,0.04330323
9,12,-0.006165014
9,13,-0.75639194
9,14,0.40318865
10,0,0.5782978
10,1,-0.11369301
10,2,-0.7038153
10,3,0.29689023
10,4,0.5985285
10,5,0.5020884
10,6,0.36572975
10,7,0.27364853
10,8,0.06936347
10,9,-0.60271376
10,10,1.1902472
10,11,-0.17164004
10,12,0.12693837
10,13,1.0300575
10,14,-0.7043708
11,0,-0.1636231
11,1,0.09120741
11,2,0.02794043
11,3,-0.031210132
11,4,0.043507174
11,5,-0.47166896
11,6,-0.009398233
11,7,-0.024770696
11,8,0.073278606
11,9,0.04330323
11,10,-0.17164004
11,11,0.76386994
11,12,0.07909885
11,13,-0.008417968
11,14,0.009394862
12,0,0.000894268
12,1,-0.025111731
12,2,0.0043728743
12,3,-0.07470349
12,4,-0.002791267
12,5,-0.032305643
12,6,-0.020528397
12,7,-0.016581144
12,8,0.23728098
12,9,-0.006165014
12,10,0.12693837
12,11,0.07909885
12,12,0.7630651
12,13,0.041966587
12,14,-0.1562117
13,0,0.66435933
13,1,-0.34289813
13,2,-0.721984
13,3,0.3335926
13,4,1.0206742
13,5,0.18002388
13,6,0.44872537
13,7,0.34193873
13,8,-0.026449759
13,9,-0.75639194
13,10,1.0300575
13,11,-0.008417968
13,12,0.041966587
13,13,1.6205155
13,14,-0.96347344
14,0,-0.43104735
14,1,0.23724084
14,2,0.39645347
14,3,-0.09609343
14,4,-0.43416208
14,5,-0.23789595
14,6,-0.23207244
14,7,-0.13399386
14,8,0.0077548176
14,9,0.40318865
14,10,-0.7043708
14,11,0.009394862
14,12,-0.1562117
14,13,-0.96347344
14,14,0.98715156
