row,column,value
0,0,1.2376654
0,1,-0.48330915
0,2,0.5415899
0,3,-0.12820974
0,4,-0.52755505
0,5,-0.18955395
0,6,0.20442294
0,7,0.2390017
0,8,-0.13076384
0,9,-0.12020866
0,10,-0.31520748
0,11,0.29703647
0,12,-0.050484072
0,13,0.02268797
0,14,-0.17650071
1,0,-0.48330915
1,1,0.78640604
1,2,-0.49405694
1,3,-0.072724625
1,4,0.7123655
1,5,0.56787187
1,6,-0.064200066
1,7,-0.5894499
1,8,0.070185795
1,9,-0.05906197
1,10,0.5274274
1,11,-0.08963981
1,12,0.009142671
1,13,0.4232373
1,14,0.58479756
2,0,0.5415899
2,1,-0.49405694
2,2,0.87299126
2,3,2.8571114e-05
2,4,-0.8512157
2,5,-0.6456612
2,6,-0.061456002
2,7,0.71300054
2,8,-0.080928296
2,9,0.2800678
2,10,-0.67548525
2,11,0.20264596
2,12,0.011779953
2,13,-0.4758864
2,14,-0.4396923
3,0,-0.12820974
3,1,-0.072724625
3,2,2.8571114e-05
3,3,1.2620885
3,4,-0.022497738
3,5,0.0028300062
3,6,0.10958922
3,7,0.17008814
3,8,0.028664336
3,9,-0.23200953
3,10,-0.10024218
3,11,0.01830326
3,12,-0.048231687
3,13,0.09550174
3,14,-0.050046723
4,0,-0.52755505
4,1,0.7123655
4,2,-0.8512157
4,3,-0.022497738
4,4,1.0812103
4,5,0.89587796
4,6,0.15839942
4,7,-0.8850604
4,8,-0.10704905
4,9,-0.40400904
4,10,0.8163456
4,11,-0.16927317
4,12,0.006612964
4,13,0.79786533
4,14,0.6386958
5,0,-0.18955395
5,1,0.56787187
5,2,-0.6456612
5,3,0.0028300062
5,4,0.89587796
5,5,1.0212369
5,6,0.22961454
5,7,-0.88452524
5,8,-0.1552816
5,9,-0.48825023
5,10,0.7149142
5,11,-0.18453532
5,12,-0.0009836806
5,13,0.9213675
5,14,0.41433957
6,0,0.20442294
6,1,-0.064200066
6,2,-0.061456002
6,3,0.10958922
6,4,0.15839942
6,5,0.22961454
6,6,0.62500775
6,7,-0.23493853
6,8,-0.5368861
6,9,-0.6129142
6,10,0.08117646
6,11,0.020276379
6,12,0.061880194
6,13,0.47670573
6,14,0.11834215
7,0,0.2390017
7,1,-0.5894499
7,2,0.71300054
7,3,0.17008814
7,4,-0.8850604
7,5,-0.88452524
7,6,-0.23493853
7,7,1.0266544
7,8,0.18955578
7,9,0.5120991
7,10,-0.7803195
7,11,0.13205186
7,12,-0.051100574
7,13,-0.79459417
7,14,-0.5734518
8,0,-0.13076384
8,1,0.070185795
8,2,-0.080928296
8,3,0.028664336
8,4,-0.10704905
8,5,-0.1552816
8,6,-0.5368861
8,7,0.18955578
8,8,0.97055125
8,9,0.57319874
8,10,-0.020094842
8,11,-0.016417598
8,12,-0.24242605
8,13,-0.47967076
8,14,-0.03272652
9,0,-0.12020866
9,1,-0.05906197
9,2,0.2800678
9,3,-0.23200953
9,4,-0.40400904
9,5,-0.48825023
9,6,-0.6129142
9,7,0.5120991
9,8,0.57319874
9,9,1.0448191
9,10,-0.24060683
9,11,-0.100683
9,12,0.035613216
9,13,-0.7693612
9,14,-0.31249094
10,0,-0.31520748
10,1,0.5274274
10,2,-0.67548525
10,3,-0.10024218
10,4,0.8163456
10,5,0.7149142
10,6,0.08117646
10,7,-0.7803195
10,8,-0.020094842
10,9,-0.24060683
10,10,0.93470657
10,11,-0.3263524
10,12,0.00493085
10,13,0.6116859
10,14,0.41720185
11,0,0.29703647
11,1,-0.08963981
11,2,0.20264596
11,3,0.01830326
11,4,-0.16927317
11,5,-0.18453532
11,6,0.020276379
11,7,0.13205186
11,8,-0.016417598
11,9,-0.100683
11,10,-0.3263524
11,11,0.7492324
11,12,-0.088680044
11,13,-0.035677496
11,14,0.32636073
12,0,-0.050484072
12,1,0.009142671
12,2,0.011779953
12,3,-0.048231687
12,4,0.006612964
12,5,-0.0009836806
12,6,0.061880194
12,7,-0.051100574
12,8,-0.24242605
12,9,0.035613216
12,10,0.00493085
12,11,-0.088680044
12,12,0.89096683
12,13,-0.2261368
12,14,-0.059559427
13,0,0.02268797
13,1,0.4232373
13,2,-0.4758864
13,3,0.09550174
13,4,0.79786533
13,5,0.9213675
13,6,0.47670573
13,7,-0.79459417
13,8,-0.47967076
13,9,-0.7693612
13,10,0.6116859
13,11,-0.035677496
13,12,-0.2261368
13,13,1.3339971
13,14,0.57481277
14,0,-0.17650071
14,1,0.58479756
14,2,-0.4396923
14,3,-0.050046723
14,4,0.6386958
14,5,0.41433957
14,6,0.11834215
14,7,-0.5734518
14,8,-0.03272652
14,9,-0.31249094
14,10,0.41720185
14,11,0.32636073
14,12,-0.059559427
14,13,0.57481277
14,14,1.1624664
