architecture,parameterization,model,parameter_count,best_epoch,suffix_nll_per_exposure,full_marginal_nll_per_exposure,delta_suffix_vs_no_w,delta_full_vs_no_w
nhp,output_split,no_wishart,4113,295,3.5510454177856445,3.902924060821533,0.0,0.0
nhp,output_split,latent_wishart_attention,4338,270,3.4608657360076904,3.842290163040161,-0.0901796817779541,-0.06063389778137207
nhp,lal_fixed,no_wishart,4059,290,3.5776076316833496,3.9164867401123047,0.0,0.0
nhp,lal_fixed,latent_wishart_attention,4284,190,3.471475124359131,3.874752998352051,-0.10613250732421875,-0.041733741760253906
thp,output_split,no_wishart,11295,120,3.628966808319092,3.9502618312835693,0.0,0.0
thp,output_split,latent_wishart_attention,11520,210,3.4652843475341797,3.8183069229125977,-0.1636824607849121,-0.13195490837097168
thp,lal_fixed,no_wishart,11031,140,3.53585147857666,3.878920316696167,0.0,0.0
thp,lal_fixed,latent_wishart_attention,11256,155,3.4855384826660156,3.8336520195007324,-0.05031299591064453,-0.04526829719543457
cotic,output_split,no_wishart,58345,110,3.899844169616699,4.207411289215088,0.0,0.0
cotic,output_split,latent_wishart_attention,58570,95,3.6390931606292725,3.9291303157806396,-0.26075100898742676,-0.27828097343444824
cotic,lal_fixed,no_wishart,57781,80,3.8729381561279297,4.102615833282471,0.0,0.0
cotic,lal_fixed,latent_wishart_attention,58006,135,3.6617677211761475,3.9513487815856934,-0.21117043495178223,-0.15126705169677734
